Journal Title,Publisher,Society,Publisher type,Journal type,ISSN,,First published
COMPOST SCI UTIL,JG PRESS INC ,---,for-profit,,1065-657X,,1993
ECOSYSTEMS,SPRINGER-VERLAG ,---,for-profit,,1432-9840,,1998
MOL ECOL + MOL ECOL NOTES,BLACKWELL SCIENCE LTD ,---,for-profit,,n/a,,1992
GLOBAL CHANGE BIOL,BLACKWELL SCIENCE LTD ,---,for-profit,,1354-1013,,1995
THEOR POPUL BIOL,ACADEMIC PRESS INC ,none,for-profit,,0040-5809,,1970
DIVERS DISTRIB + GLOBAL ECOL BIOGEOGR + J BIOGEOGR,BLACKWELL SCIENCE INC,---,for-profit,,n/a,,1974
ACTA OECOL,ELSEVIER FRANCE,---,for-profit,,1146-609X,,1990
EVOL ECOL,KLUWER ACADEMIC PUBL  ,---,for-profit,,0269-7653,,1987
CHEMOECOLOGY,BIRKHAUESER,--,for-profit,,0937-7409,,1990
BEHAV ECOL SOCIOBIOL,SPRINGER-VERLAG ,---,for-profit,,0340-5443,,1976
J EXP MAR BIOL ECOL,ELSEVIER SCIENCE BV ,---,for-profit,,0022-0981,,1967
PERSPECT PLANT ECOL,ELSEVIER,---,for-profit,,1433-8319,,1998
INT J SUST DEV WORLD,CRC PRESS,---,for-profit,,1350-4509,,1994
ECOTOXICOLOGY,KLUWER ACADEMIC PUBL ,---,for-profit,,0963-9292,,1992
AGR ECOSYST ENVIRON,ELSEVIER SCIENCE BV ,---,for-profit,,0167-8809,,1982
BIOCHEM SYST ECOL,PERGAMON-ELSEVIER SCIENCE LTD ,---,for-profit,,0305-1978,,1973
LANDSCAPE URBAN PLAN,ELSEVIER SCIENCE BV ,none,for-profit,,0169-2046,,1974
ENVIRON BIOL FISH,SPRINGER-VERLAG ,---,for-profit,,0378-1909,,1976
J ARID ENVIRON,ELSEVIER ,---,for-profit,,0140-1963,,1978
PLANT ECOL,SPRINGER-VERLAG  ,none,for-profit,,1385-0237,,1949
ECOL ENG,ELSEVIER SCIENCE BV ,---,for-profit,,0925-8574,,1992
EUR J SOIL BIOL,ELSEVIER FRANCE,---,for-profit,,1164-5563,,1992
J NAT HIST,TAYLOR & FRANCIS LTD ,---,for-profit,,0022-2933,,1841
RUSS J ECOL+,SPRINGER / MAIK Nauka - Interperiodica,---,for-profit,,1067-4136,,1970
CONSERV BIOL,BLACKWELL SCIENCE INC ,SOCIETY FOR CONSERVATION BIOLOGY,joint,,0888-8892,,1986
OIKOS,BLACKWELL,NORDIC ECOLOGICAL SOCIETY OIKOS,joint,,0030-1299,,1948
ECOGRAPHY,MUNKSGAARD INT PUBL LTD ,NORDIC ECOLOGICAL SOCIETY OIKOS,joint,,0906-7590,,1978
J ANIM ECOL,BLACKWELL SCIENCE LTD ,BRITISH ECOLOGICAL SOCIETY,joint,,0021-8790,,1932
J APPL ECOL,BLACKWELL SCIENCE LTD ,BRITISH ECOLOGICAL SOCIETY,joint,,0021-8901,,1964
J ECOL, BLACKWELL SCIENCE LTD  ,BRITISH ECOLOGICAL SOCIETY,joint,,0022-0477,,1913
FUNCT ECOL,BLACKWELL SCIENCE LTD ,BRITISH ECOLOGICAL SOCIETY,joint,,0269-8463,,1987
ECOL LETT,BLACKWELL SCIENCE LTD ,CNRS,joint,,1461-023X,,1998
BIOTROPICA,BLACKWELL,ASSOC TROPICAL BIOLOGY INC ,joint,,0006-3606,,1969
BIOL CONSERV,ELSEVIER SCI LTD ,BRITISH ECOLOGICAL SOCIETY,joint,,0006-3207,,1969
J EVOLUTION BIOL,BLACKWELL SCIENCE LTD,EUROPEAN SOCIETY FOR EVOLUTIONARY BIOLOGY,joint,,1010-061X,,1988
AQUAT MICROB ECOL,INTER-RESEARCH ,OTTO KINNE FOUNDATION,joint,,0948-3055,,1985
BASIC APPL ECOL,ELSEVIER ,Gesellschaft fur Okologie,joint,,1439-1791,,2000
MAR ECOL-PROG SER,INTER-RESEARCH ,OTTO KINNE FOUNDATION,joint,,0171-8630,,1979
MICROBIAL ECOL,SPRINGER-VERLAG ,THE INTERNATIONAL SOCIETY FOR MICROBIAL ECOLOGY,joint,,0095-3628,,1979
RESTOR ECOL,BLACKWELL SCIENCE INC ,SOCIETY FOR ECOLOGICAL RESTORATION,joint,,1061-2971,,1993
APPL VEG SCI,OPULUS PRESS,International Association of Vegetation Science,joint,,1402-2001,,1998
OECOLOGIA,SPRINGER-VERLAG  ,THE INTERNATIONAL ASSOCIATION FOR ECOLOGY (INTECOL),joint,,0029-8549,,1924
LANDSCAPE ECOL,KLUWER ACADEMIC PUBL  ,THE INTERNATIONAL SOCIETY FOR LANDSCAPE ECOLOGY,joint,,0921-2973,,1987
J CHEM ECOL,KLUWER ACADEMIC/PLENUM PUBL ,THE INTERNATIONAL SOCIETY OF CHEMICAL ECOLOGY,joint,,0098-0331,,1975
ECOL RES,SPRINGER-VERLAG ,ECOLOGICAL SOCIETY OF JAPAN,joint,,0912-3814,,1986
ECOL MODEL,ELSEVIER SCIENCE BV  ,INTERNATIONAL SOCIETY FOR ECOLOGICAL MODELILNG,joint,,0304-3800,,1975
AUSTRAL ECOL,BLACKWELL SCIENCE ASIA ,ECOLOGICAL SOCIETY OF AUSTRALIA,joint,,1442-9985,,1976
BIODIVERS CONSERV,SPRINGER-VERLAG ,JOINT NATURE CONSERVATION COMMITTEE,joint,,0960-3115,,1991
ECOL ECON,ELSEVIER SCIENCE BV  ,THE INTERNATIONAL SOCIETY FOR ECOLOGICAL ECONOMICS,joint,,0921-8009,,1989
POPUL ECOL,SPRINGER-VERLAG TOKYO  ,SOCIETY OF POPULATION ECOLOGY,joint,,1438-3896,,1962
PEDOBIOLOGIA,ELSEVIER SCIENCE BV ,INTERNATIONAL SOCIETY OF SOIL SCIENCE,joint,,0031-4056,,1961
POLAR BIOL,SPRINGER-VERLAG  ,INSTITUTE FOR POLAR ECOLOGY,joint,,0722-4060,,1982
AFR J ECOL,BLACKWELL,EAST AFRICAN WILDLIFE SOCIETY,joint,,0141-6707,,1962
EVOLUTION,SOC STUDY EVOLUTION ,---,non-profit,,0014-3820,,1947
AM NAT,UNIV CHICAGO PRESS ,AMERICAN SOCIETY OF NATURALISTS,non-profit,,0003-0147,,1867
ECOLOGY,ECOLOGICAL SOC AMER ,---,non-profit,,0012-9658,,1897
ECOL APPL,ECOLOGICAL SOC AMER ,---,non-profit,,1051-0761,,1991
J WILDLIFE MANAGE,THE WILDLIFE SOCIETY,---,non-profit,,0022-541X,,1937
J N AM BENTHOL SOC,NORTH AMER BENTHOLOGICAL SOC ,---,non-profit,,0887-3593,,1982
ANN ZOOL FENN,FINNISH ZOOLOGICAL AND BOTANICAL PUBLISHING BOARD,---,non-profit,,0003-455X,,1964
J SOIL WATER CONSERV,Soil and Water Conservation Society,---,non-profit,,0022-4561,,1946
ECOL MONOGR,ECOLOGICAL MONOGRAPHS,---,non-profit,,0012-9615,,1931
WILDLIFE SOC B,THE WILDLIFE SOCIETY,---,non-profit,,0091-7648,,1973
AM MIDL NAT,UNIV NOTRE DAME,---,non-profit,,0003-0031,,1909
PALEOBIOLOGY,PALEONTOLOGICAL SOC INC ,---,non-profit,,0094-8373,,1975
BEHAV ECOL,OXFORD UNIV PRESS INC ,---,non-profit,,1045-2249,,1990
FRONT ECOL ENVIRON,ECOLOGICAL SOC AMER ,---,non-profit,,1540-9295,,2003
EVOL ECOL RES,EVOLUTIONARY ECOLOGY LTD ,---,non-profit,,1522-0613,,1999
P LINN SOC N S W,Linnean Society of New South Wales,---,non-profit,,0370-047X,,1875
J FRESHWATER ECOL,OIKOS PUBL INC ,---,non-profit,,0270-5060,,1981
SOUTHWEST NAT,Southwestern Association of Naturalists,---,non-profit,,0038-4909,,1953
ANIM CONSERV,CAMBRIDGE UNIVERSITY PRESS,--,non-profit,,1367-9430,,1998
J TROP ECOL,CAMBRIDGE UNIV PRESS  ,---,non-profit,,0266-4674,,1985
WETLANDS,SOC WETLAND SCIENTISTS ,---,non-profit,,0277-5212,,1981
J VEG SCI,OPULUS PRESS UPPSALA AB ,---,non-profit,,1100-9233,,1990
ECOSCIENCE,UNIVERSITE LAVAL ,---,non-profit,,1195-6860,,1994
NAT AREA J,NATURAL AREAS ASSOCIATION ,---,non-profit,,0885-8608,,1981
SOUTHEAST NAT,Humboldt Field Research Institute,---,non-profit,,1528-7092,,2002
REV ECOL-TERRE VIE,Societe Nationale de Protection de la Nature,---,non-profit,,0249-7395,,1854
NEW ZEAL J ECOL,NEW ZEALAND ECOL SOC ,---,non-profit,,0110-6465,,1953
NORTHWEST SCI,WASHINGTON STATE UNIV ,---,non-profit,,0029-344X,,1927
POL J ECOL,Polska Akademia Nauk,---,non-profit,,1505-2249,,1953
WILDLIFE BIOL,	Nordisk Kollegium for Vildtforskning,---,non-profit,,0909-6396,,1995
J RANGE MANAGE (Now Rangeland Ecology and Management),SOC RANGE MANAGEMENT ,---,non-profit,,0022-409X,,1948
NORTHEAST NAT,Humboldt Field Research Institute,---,non-profit,,1092-6194,,1993
ORYX,CAMBRIDGE UNIVERSITY PRESS,FAUNA AND FLORA INTERNATIONAL,non-profit,,0030-6053,,1903
CAN FIELD NAT,OTTAWA FIELD-NATURALISTS CLUB ,---,non-profit,,0008-3550,,1879
WILDLIFE RES,C S I R O PUBLISHING  ,---,non-profit,,1035-3712,,1956
VIE MILIEU,Universite de Paris VI (Pierre et Marie Curie),---,non-profit,,0240-8759,,1980
RANGELAND J,AUSTRALIAN RANGELAND SOCIETY,---,non-profit,,1036-9872,,1976
S AFR J WILDL RES,BUREAU SCIENTIFIC PUBL ,---,non-profit,,0379-4369,,1971
EKOL BRATISLAVA,SLOVAK ACADEMIC PRESS LTD , Institute of Landscape Ecology of the Slovak Academy of Science,non-profit,,1335-342X,,1982
