topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
seed,size,water,forest,prey,population,food,soil,water,genetic
dispersal,population,temperature,trees,host,model,nutrient,species,production,population
foraging,body,leaf,tree,plant,data,energy,plant,surface,dna
patch,reproductive,plants,vegetation,predation,density,nitrogen,community,marine,loci
plant,growth,growth,plant,plants,time,mass,diversity,depth,landscape
plants,breeding,plant,plants,predator,survival,growth,richness,carbon,conservation
habitat,selection,conditions,soil,density,dynamics,trophic,biomass,sediment,molecular
distance,variation,light,growth,interactions,analysis,breeding,litter,organic,microsatellite
time,density,data,seed,effect,spatial,time,nitrogen,data,habitat
native,sex,dry,cover,experiment,distribution,nutrients,ecosystem,biomass,science
